end,item1,item2,item3,item4,lvl,name,server,sex,special_features1,special_features2,special_features3,special_features4,special_features5,start,status_auction,tc,vocation
"Aug 30 2020, 22:00 CEST","""boots of haste""","""a paladin armor""","""a Zaoan helmet""","""Zaoan legs""",92,Kennarrow,Nefera,Male,102 Distance Fighting (Loyalty bonus not included),92 Level,18 Magic Level (Loyalty bonus not included),91 Shielding (Loyalty bonus not included),"45268 Gold total in bank, inventory and depot","Aug 29 2020, 10:07 CEST",Sold,150,Royal Paladin
"Aug 30 2020, 22:00 CEST","""boots of haste""","""a vampire shield""","""a focus cape""","""Zaoan legs""",31,Kamisou,Peloria,Female,85 Magic Level (Loyalty bonus not included),,,,,"Aug 28 2020, 10:08 CEST",Sold,551,Elder Druid
"Aug 30 2020, 22:30 CEST","""the scorcher""","""the chiller""","""a spellbook of the novice""","""(no item for display selected)""",425,Diogo the warrior,Secura,Male,126 Axe Fighting (Loyalty bonus not included),,,,,"Aug 29 2020, 10:10 CEST",Not Sold,19000,Elite Knight
"Aug 30 2020, 22:30 CEST","""boots of haste""","""a crusader helmet""","""a paladin armor""","""Zaoan legs""",214,Okoradorin Arloran,Firmera,Male,,,,,,"Aug 29 2020, 10:06 CEST",Sold,751,Royal Paladin
"Aug 30 2020, 22:30 CEST","""a magma coat""","200x ""a sudden death rune""","6x ""a mouthpiece for a horn""","24x ""an ultimate mana potion""",128,Shmuglerbumble Astonykidsonik,Antica,Female,,,,,,"Aug 29 2020, 10:11 CEST",Not Sold,800,Master Sorcerer
"Aug 30 2020, 22:30 CEST","""boots of haste""","""a hat of the mad""","""a demon shield""","""a gold token""",132,To Troche Wstyd,Ragna,Male,"Achievement ""Efreet Ally"" accomplished","Achievement ""Becoming a Bigfoot"" accomplished","44077 Gold total in bank, inventory and depot",132 Level,68 Magic Level (Loyalty bonus not included),"Aug 29 2020, 10:04 CEST",Not Sold,2500,Master Sorcerer
"Aug 30 2020, 22:45 CEST","""a hat of the mad""","""frozen starlight""","""a focus cape""","""grasshopper legs""",101,Ryo Nina,Lobera,Female,173x a great mana potion (Store Item),"Blessings active: 6/7, Twist of Fate active: yes","Achievement ""One Thousand and One"" accomplished",Daily Reward Streak: 4/7,67 Magic Level (Loyalty bonus not included),"Aug 29 2020, 10:13 CEST",Not Sold,350,Master Sorcerer
"Aug 30 2020, 23:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",112,Saint Predator,Menera,Male,112 Axe Fighting (Loyalty bonus not included),Character World Transfer available,"193592 Gold total in bank, inventory and depot",105 Shielding (Loyalty bonus not included),Store Mounts: 1,"Aug 28 2020, 10:07 CEST",Sold,331,Elite Knight
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",50,Nervesax,Lobera,Male,72 Magic Level (Loyalty bonus not included),Character World Transfer available,,,,"Aug 26 2020, 10:10 CEST",Sold,246,Elder Druid
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",48,Moon Esde,Vunira,Male,62 Magic Level (Loyalty bonus not included),,,,,"Aug 26 2020, 10:06 CEST",Not Sold,208,Druid
"Aug 27 2020, 10:00 CEST","""a gill gugel""","""a gill coat""","""gill legs""","""a dream blossom staff""",191,Lord'Markus,Lutabra,Male,"Achievement ""High Inquisitor"" accomplished",191 Level,77 Magic Level (Loyalty bonus not included),,,"Aug 26 2020, 10:09 CEST",Sold,1336,Druid
"Aug 27 2020, 10:00 CEST","315x ""a mana potion""","200x ""a thunderstorm rune""","7x ""fairy wings""","""a butterfly ring""",122,Musculado,Ombra,Male,89 Shielding (Loyalty bonus not included),Character World Transfer available,98 Sword Fighting (Loyalty bonus not included),122 Level,"Total Charm Points 270, Unused Charm Points: 270","Aug 26 2020, 10:07 CEST",Not Sold,750,Elite Knight
"Aug 27 2020, 10:00 CEST","""boots of haste""","""a demon shield""","2x ""a cake backpack""","""a blueberry cupcake""",24,Aromatase,Kalibra,Male,1355x a mana potion (Store Item),1170x a supreme health potion (Store Item),100 Shielding (Loyalty bonus not included),Character World Transfer available,108 Sword Fighting (Loyalty bonus not included),"Aug 26 2020, 10:07 CEST",Sold,1411,Elite Knight
"Aug 27 2020, 10:00 CEST","""a snake god's wristguard""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",137,Lord Oss,Yonabra,Male,137 Level,71 Magic Level (Loyalty bonus not included),"Total Charm Points 205, Unused Charm Points: 205",,,"Aug 26 2020, 10:06 CEST",Sold,903,Elder Druid
"Aug 27 2020, 10:00 CEST","""a hat of the mad""","""a snake god's wristguard""","6x ""a wand of defiance""","""alloy legs""",100,Addled Yeayea,Wintera,Male,790x an ultimate mana potion (Store Item),"Achievement ""Ruthless"" accomplished",Character World Transfer available,100 Level,63 Magic Level (Loyalty bonus not included),"Aug 26 2020, 10:08 CEST",Sold,551,Master Sorcerer
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",409,Popsicle Profit,Noctera,Female,Additional Slots: Prey,"Total Charm Points 2100, Unused Charm Points: 100",,,,"Aug 26 2020, 10:07 CEST",Sold,10001,Master Sorcerer
"Aug 27 2020, 10:00 CEST","""a Zaoan helmet""","""a prismatic armor""","""prismatic legs""","""a rift bow""",417,Jagger Shelby,Yonabra,Male,349 Achievement Points,"Total Charm Points 2933, Unused Charm Points: 333",417 Level,Unlocked Powerful Imbuements: 18,112 Distance Fighting (Loyalty bonus not included),"Aug 26 2020, 10:06 CEST",Sold,8001,Royal Paladin
"Aug 27 2020, 10:00 CEST","77x ""a crude horn of bone""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",418,Beefy Diablez,Antica,Male,111 Axe Fighting (Loyalty bonus not included),26 Quests completed,418 Level,Unlocked Powerful Imbuements: 19,105 Shielding (Loyalty bonus not included),"Aug 26 2020, 10:06 CEST",Sold,7000,Elite Knight
"Aug 27 2020, 10:00 CEST","""a mouldy cheese""","""a gingerbreadman""","""a pointed rabbitslayer""","""a golden brush""",35,Son dewny,Helera,Male,,,,,,"Aug 26 2020, 10:07 CEST",Sold,201,Druid
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",125,Sorcerer Lock,Ferobra,Male,"Total Charm Points 605, Unused Charm Points: 605",70 Magic Level (Loyalty bonus not included),125 Level,Character World Transfer available,,"Aug 26 2020, 10:09 CEST",Sold,601,Master Sorcerer
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",80,Diabolher,Quelibra,Female,"Blessings active: 5/7, Twist of Fate active: yes",62 Magic Level (Loyalty bonus not included),Character World Transfer available,,,"Aug 26 2020, 10:10 CEST",Sold,741,Master Sorcerer
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",17,Neeosz,Premia,Male,,,,,,"Aug 26 2020, 10:06 CEST",Sold,900,Knight
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",267,Hytseria Awake,Nefera,Male,1335x an ultimate spirit potion (Store Item),116 Distance Fighting (Loyalty bonus not included),Character World Transfer available,26 Magic Level (Loyalty bonus not included),267 Level,"Aug 26 2020, 10:07 CEST",Sold,3000,Royal Paladin
"Aug 27 2020, 10:00 CEST","""an amulet of loss""","""a magic plate armor""","""a mastermind shield""","""a Zaoan helmet""",37,Lady Lykan,Kalibra,Female,260x a supreme health potion (Store Item),98 Sword Fighting (Loyalty bonus not included),"Total Charm Points 65, Unused Charm Points: 65",91 Shielding (Loyalty bonus not included),,"Aug 26 2020, 10:07 CEST",Sold,401,Elite Knight
"Aug 27 2020, 10:00 CEST","""a pirate shirt""","""a pirate hat""","2,193x ""a crystalline arrow""","""a rift crossbow""",135,Chica Braba,Serdebra,Female,1460x an ultimate spirit potion (Store Item),Character World Transfer available,107 Distance Fighting (Loyalty bonus not included),135 Level,"Blessings active: 7/7, Twist of Fate active: yes","Aug 26 2020, 10:09 CEST",Sold,1051,Royal Paladin
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",180,Jonny'Disordero,Calmera,Male,180 Level,9 Magic Level (Loyalty bonus not included),112 Axe Fighting (Loyalty bonus not included),105 Shielding (Loyalty bonus not included),,"Aug 26 2020, 10:06 CEST",Sold,2001,Elite Knight
"Aug 27 2020, 10:00 CEST","2x ""a trophy stand""","""a magician's robe""","""(no item for display selected)""","""(no item for display selected)""",218,Edmotta,Yonabra,Male,115 Achievement Points,94 Magic Level (Loyalty bonus not included),218 Level,"Total Charm Points 945, Unused Charm Points: 145",6 Quests completed,"Aug 26 2020, 10:06 CEST",Sold,2500,Druid
"Aug 27 2020, 10:00 CEST","""boots of haste""","""a heart backpack""","""a calopteryx cape""","""a moon mirror""",134,Super robi,Serdebra,Female,1027x an ultimate mana potion (Store Item),134 Level,73 Magic Level (Loyalty bonus not included),,,"Aug 26 2020, 10:09 CEST",Sold,861,Sorcerer
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",268,Terazar Gof,Zuna,Male,,,,,,"Aug 26 2020, 10:03 CEST",Sold,2223,Elite Knight
"Aug 27 2020, 10:00 CEST","""a wood cape""","""an elvish bow""","""a paladin armor""","""Zaoan legs""",37,Areczekk,Antica,Male,85 Distance Fighting (Loyalty bonus not included),,,,,"Aug 26 2020, 10:06 CEST",Sold,201,Royal Paladin
"Aug 27 2020, 10:00 CEST","""gill legs""","""a prismatic armor""","293x ""a mouthpiece for a horn""","""a moon mirror""",293,Balt Blake,Gladera,Male,350 Achievement Points,293 Level,86 Magic Level (Loyalty bonus not included),"Blessings active: 7/7, Twist of Fate active: yes",,"Aug 26 2020, 10:07 CEST",Sold,3501,Druid
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",221,Duudi,Vunira,Male,,,,,,"Aug 26 2020, 10:05 CEST",Sold,2101,Elder Druid
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",130,Skax Bourbon,Funera,Male,,,,,,"Aug 26 2020, 10:04 CEST",Not Sold,1000,Master Sorcerer
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",251,Warsinger Bow,Nefera,Male,26 Magic Level (Loyalty bonus not included),251 Level,116 Distance Fighting (Loyalty bonus not included),102 Shielding (Loyalty bonus not included),Store Outfits: 1,"Aug 26 2020, 10:07 CEST",Sold,3001,Royal Paladin
"Aug 27 2020, 10:00 CEST","2x ""a mage hat""","""a dream blossom staff""","""(no item for display selected)""","""(no item for display selected)""",88,Enemy Yourname,Faluna,Male,1810x an ultimate mana potion (Store Item),"Blessings active: 7/7, Twist of Fate active: yes",Daily Reward Streak: 198/7,65 Magic Level (Loyalty bonus not included),4 Achievement Points,"Aug 26 2020, 10:06 CEST",Not Sold,500,Elder Druid
"Aug 27 2020, 10:00 CEST","42x ""a strong health potion""","""a demon shield""","""a Zaoan helmet""","""Zaoan legs""",131,True Youruls,Ysolera,Male,1434x a health potion (Store Item),16 Achievement Points,,,,"Aug 26 2020, 10:05 CEST",Sold,1500,Elite Knight
"Aug 27 2020, 10:00 CEST","""a backpack of holding""","""a magic sword""","""a yalahari mask""","""void boots""",127,Pium Pium Mere,Quelibra,Female,3 Quests completed,69 Magic Level (Loyalty bonus not included),"Achievement ""Vive la Resistance"" accomplished",Character World Transfer available,,"Aug 26 2020, 10:11 CEST",Sold,1101,Master Sorcerer
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",264,Xemirz,Talera,Male,264 Level,101 Sword Fighting (Loyalty bonus not included),95 Shielding (Loyalty bonus not included),"Achievement ""Rathleton Citizen"" accomplished",Character World Transfer available,"Aug 26 2020, 10:10 CEST",Sold,3001,Knight
"Aug 27 2020, 10:00 CEST","""a magic sword""","""ornate legs""","""an ornate shield""","""a prismatic armor""",235,Lonn Zao,Serenebra,Male,36 Achievement Points,"Achievement ""Archpostman"" accomplished","Achievement ""Bearhugger"" accomplished","Achievement ""Champion of Chazorai"" accomplished","Achievement ""Dog Sitter"" accomplished","Aug 26 2020, 10:08 CEST",Sold,2300,Knight
"Aug 27 2020, 10:00 CEST","""a demon armor""","""a firemind raiment""","""a spirit guide""","""a pair of nightmare boots""",697,Yuri Paralyzer,Lutabra,Male,1x a ferumbras exercise dummy (Store Item),595 Achievement Points,111 Magic Level (Loyalty bonus not included),"Total Charm Points 4873, Unused Charm Points: 173",Character World Transfer available,"Aug 26 2020, 10:09 CEST",Sold,30501,Elder Druid
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",103,Fox Bad Death,Xandebra,Male,8 Achievement Points,,,,,"Aug 26 2020, 10:08 CEST",Sold,751,Elder Druid
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",119,Magz Billy Bull,Ferobra,Male,,,,,,"Aug 26 2020, 10:09 CEST",Sold,456,Sorcerer
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",25,Farmer Paladin Leader,Pacera,Male,103 Distance Fighting (Loyalty bonus not included),93 Shielding (Loyalty bonus not included),25 Level,"Achievement ""Natural Born Cowboy"" accomplished",,"Aug 26 2020, 10:06 CEST",Sold,901,Royal Paladin
"Aug 27 2020, 10:00 CEST","""an amulet of loss""","""boots of haste""","""gill legs""","2x ""a prismatic ring""",172,Nony,Premia,Female,1200x a sudden death rune (Store Item),620x an ultimate mana potion (Store Item),172 Level,Character World Transfer available,,"Aug 26 2020, 10:06 CEST",Sold,1200,Elder Druid
"Aug 27 2020, 10:00 CEST","""a backpack of holding""","40x ""a midnight shard""","2x ""a Zaoan chess box""","""a rift bow""",150,Zython on Antice,Antica,Male,65 Achievement Points,"Achievement ""Master of the Nexus"" accomplished",150 Level,23 Magic Level (Loyalty bonus not included),119 Distance Fighting (Loyalty bonus not included),"Aug 26 2020, 10:08 CEST",Sold,4001,Royal Paladin
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",47,Destructive Taz,Gladera,Male,,,,,,"Aug 26 2020, 10:07 CEST",Sold,401,Paladin
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",224,Mobilia Nova,Belobra,Male,,,,,,"Aug 26 2020, 10:07 CEST",Sold,1100,Master Sorcerer
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",43,Rafazerah Matarindo,Libertabra,Male,"Total Charm Points 30, Unused Charm Points: 30","Blessings active: 7/7, Twist of Fate active: no","94955 Gold total in bank, inventory and depot",64 Magic Level (Loyalty bonus not included),Store Decoration Items: 1,"Aug 26 2020, 10:10 CEST",Not Sold,800,Master Sorcerer
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",228,Wozofom,Serdebra,Male,Character World Transfer available,19 Quests completed,105 Club Fighting (Loyalty bonus not included),Store Mounts: 5,228 Level,"Aug 26 2020, 10:08 CEST",Sold,2301,Elite Knight
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",369,Luiiz Dusmolho,Dibra,Male,,,,,,"Aug 26 2020, 10:07 CEST",Sold,8001,Royal Paladin
"Aug 27 2020, 10:00 CEST","""a yalahari mask""","""an earthmind raiment""","""a wand of destruction""","""a foxtail amulet""",490,Ha Pu,Menera,Male,1x a ferumbras exercise dummy (Store Item),490 Level,102 Magic Level (Loyalty bonus not included),"Total Charm Points 2126, Unused Charm Points: 526",Character World Transfer available,"Aug 26 2020, 10:06 CEST",Sold,9701,Sorcerer
"Aug 27 2020, 10:00 CEST","""boots of haste""","""a demon shield""","""a focus cape""","""Zaoan legs""",72,Valphiron,Estela,Male,72 Level,67 Magic Level (Loyalty bonus not included),34 Shielding (Loyalty bonus not included),3 Achievement Points,,"Aug 26 2020, 10:06 CEST",Sold,361,Elder Druid
"Aug 27 2020, 10:00 CEST","""boots of haste""","""a royal helmet""","""a demon shield""","""green light""",48,Itx,Zunera,Male,,,,,,"Aug 26 2020, 10:07 CEST",Sold,2251,Royal Paladin
"Aug 27 2020, 10:00 CEST","""boots of haste""","""a backpack of holding""","""a rift bow""","""a pomegranate""",205,Praprikaz,Vunira,Male,Character World Transfer available,"Achievement ""Elite Hunter"" accomplished","Total Charm Points 931, Unused Charm Points: 331",103 Distance Fighting (Loyalty bonus not included),25 Magic Level (Loyalty bonus not included),"Aug 26 2020, 10:06 CEST",Sold,2000,Royal Paladin
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",117,Akta Lacken Pappskalle,Celesta,Male,77 Magic Level (Loyalty bonus not included),,,,,"Aug 26 2020, 10:04 CEST",Not Sold,1100,Elder Druid
"Aug 27 2020, 10:00 CEST","""a wood cape""","""a paladin armor""","""Zaoan legs""","""an ornate crossbow""",61,Mito Ranger,Honbra,Male,4 Achievement Points,"Achievement ""Cake Conqueror"" accomplished","Achievement ""I Did My Part"" accomplished","Achievement ""Seasoned Adventurer"" accomplished",,"Aug 26 2020, 10:07 CEST",Sold,452,Paladin
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",334,Pain Murder,Wintera,Female,,,,,,"Aug 26 2020, 10:07 CEST",Sold,5001,Paladin
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",117,Pelochas Azir,Gladera,Male,70 Magic Level (Loyalty bonus not included),"Achievement ""Exemplary Citizen"" accomplished","Achievement ""Wild Warrior"" accomplished",,,"Aug 26 2020, 10:07 CEST",Sold,401,Sorcerer
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",214,Addri,Peloria,Male,"Total Charm Points 270, Unused Charm Points: 270","Blessings active: 5/7, Twist of Fate active: yes","92730 Gold total in bank, inventory and depot",Character World Transfer available,77 Magic Level (Loyalty bonus not included),"Aug 26 2020, 10:06 CEST",Not Sold,2000,Elder Druid
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",267,Ceiwyn Cardan,Belobra,Female,Unlocked Powerful Imbuements: 3,267 Level,113 Distance Fighting (Loyalty bonus not included),Character World Transfer available,"Total Charm Points 1215, Unused Charm Points: 15","Aug 26 2020, 10:07 CEST",Sold,3000,Royal Paladin
"Aug 27 2020, 10:00 CEST","""a big bone""","""a brown bread""","""Jaul's Pearl""","""a golden talon""",335,Notorious Diablez,Antica,Male,1x a ferumbras exercise dummy (Store Item),1x a hireling lamp (Store Item),29 Magic Level (Loyalty bonus not included),Store Outfits: 4,Additional Slots: Prey,"Aug 26 2020, 10:06 CEST",Sold,5501,Royal Paladin
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",110,Aj Dzi,Damora,Male,,,,,,"Aug 26 2020, 10:05 CEST",Sold,521,Master Sorcerer
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",290,Fuxio the Paladin,Celesta,Female,324 Achievement Points,"Total Charm Points 400, Unused Charm Points: 400",17 Quests completed,108 Distance Fighting (Loyalty bonus not included),29 Magic Level (Loyalty bonus not included),"Aug 26 2020, 10:05 CEST",Sold,5001,Paladin
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",60,Lady Pyroth,Zunera,Female,1166x a mana potion (Store Item),129x a strong health potion (Store Item),Character World Transfer available,106 Sword Fighting (Loyalty bonus not included),100 Shielding (Loyalty bonus not included),"Aug 26 2020, 10:07 CEST",Sold,351,Elite Knight
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",18,Zky Funk,Wintera,Male,,,,,,"Aug 26 2020, 10:08 CEST",Sold,211,Paladin
"Aug 27 2020, 10:00 CEST","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""","""(no item for display selected)""",113,Czolem Bartek,Bona,Male,"Total Charm Points 560, Unused Charm Points: 560",66 Magic Level (Loyalty bonus not included),113 Level,29 Achievement Points,,"Aug 26 2020, 10:05 CEST",Sold,406,Master Sorcerer
